F1 Score,Feature Name,Frequency Count
0.9166666666666666,eyes,22.0
0.8333333333333334,nose,20.0
0.6,lips,16.0
0.5833333333333334,eyebrows,13.0
0.48333333333333334,chin,12.0
0.7166666666666667,cheekbones,11.0
0.6083333333333333,cheeks,11.0
0.6166666666666667,hair,11.0
0.6083333333333333,forehead,10.0
0.5583333333333333,ears,8.0
0.7,eyelids,7.0
0.7666666666666667,facial_hair,7.0
0.75,teeth,6.0
0.7416666666666667,head,5.0
0.6833333333333333,mouth,5.0
0.8333333333333334,skin,3.0
0.9583333333333334,neck,1.0
