F1 Score,Feature Name,Frequency Count
0.8951965065502183,eyes,206.0
0.8908296943231441,nose,204.0
0.6157205240174672,lips,144.0
0.6157205240174672,eyebrows,137.0
0.6855895196506551,chin,129.0
0.7074235807860262,cheekbones,104.0
0.5895196506550219,cheeks,103.0
0.6724890829694323,hair,85.0
0.62882096069869,mouth,84.0
0.6899563318777293,forehead,83.0
0.7161572052401747,ears,80.0
0.8078602620087336,facial_hair,58.0
0.7336244541484717,head,56.0
0.7947598253275109,eyelids,49.0
0.8122270742358079,teeth,44.0
0.8427947598253275,skin,35.0
0.9737991266375546,neck,6.0
