F1 Score,Feature Name,Frequency Count
0.8995633187772926,eyes,206.0
0.8908296943231441,nose,204.0
0.6921397379912664,lips,144.0
0.7030567685589519,eyebrows,137.0
0.7161572052401747,chin,129.0
0.7816593886462883,cheekbones,104.0
0.6681222707423581,cheeks,103.0
0.740174672489083,hair,85.0
0.6986899563318777,mouth,84.0
0.7183406113537117,forehead,83.0
0.7641921397379913,ears,80.0
0.8427947598253275,facial_hair,58.0
0.7751091703056768,head,56.0
0.7882096069868996,eyelids,49.0
0.8144104803493449,teeth,44.0
0.8449781659388647,skin,35.0
0.9737991266375546,neck,6.0
