F1 Score,Feature Name,Frequency Count
0.9166666666666666,eyes,22.0
0.8333333333333334,nose,20.0
0.575,lips,16.0
0.5083333333333333,eyebrows,13.0
0.4666666666666667,chin,12.0
0.7833333333333333,cheekbones,11.0
0.6666666666666666,cheeks,11.0
0.5833333333333334,hair,11.0
0.625,forehead,10.0
0.6583333333333333,ears,8.0
0.6666666666666666,eyelids,7.0
0.8416666666666667,facial_hair,7.0
0.7416666666666667,teeth,6.0
0.7833333333333333,head,5.0
0.5666666666666667,mouth,5.0
0.8583333333333333,skin,3.0
0.9583333333333334,neck,1.0
