F1 Score,Feature Name,Frequency Count
0.8995633187772926,eyes,206.0
0.8864628820960698,nose,204.0
0.7074235807860262,lips,144.0
0.6331877729257642,eyebrows,137.0
0.6681222707423581,chin,129.0
0.7510917030567685,cheekbones,104.0
0.7074235807860262,cheeks,103.0
0.7074235807860262,hair,85.0
0.6681222707423581,mouth,84.0
0.6855895196506551,forehead,83.0
0.7729257641921398,ears,80.0
0.8558951965065502,facial_hair,58.0
0.7685589519650655,head,56.0
0.8122270742358079,eyelids,49.0
0.8078602620087336,teeth,44.0
0.8471615720524017,skin,35.0
0.9737991266375546,neck,6.0
