F1 Score,Feature Name,Frequency Count
0.8498178817942165,eyes,206.0
0.8393961092005607,nose,204.0
0.6025784986483677,lips,144.0
0.5990481847215702,eyebrows,137.0
0.6802942643079344,chin,129.0
0.7058909051843155,cheekbones,104.0
0.5868818076248802,cheeks,103.0
0.6498790107929582,hair,85.0
0.6090898512868745,mouth,84.0
0.6672329463228107,forehead,83.0
0.7082770262956474,ears,80.0
0.78209508709055,facial_hair,58.0
0.670823537526344,head,56.0
0.7468415848273235,eyelids,49.0
0.7583402248201349,teeth,44.0
0.7894841311297299,skin,35.0
0.960872589558295,neck,6.0
