F1 Score,Feature Name,Frequency Count
0.8768115942028986,eyes,22.0
0.7575757575757576,nose,20.0
0.5559038662486938,lips,16.0
0.468279569892473,eyebrows,13.0
0.505541346973572,chin,12.0
0.7871758825367074,cheekbones,11.0
0.5759719346675868,cheeks,11.0
0.5648730491497786,hair,11.0
0.5773311752540239,forehead,10.0
0.6319962814097831,ears,8.0
0.6042290734071556,eyelids,7.0
0.7574061495859349,facial_hair,7.0
0.6428571428571428,teeth,6.0
0.7141801425838984,head,5.0
0.6068840579710145,mouth,5.0
0.8145879732739422,skin,3.0
0.9379432624113474,neck,1.0
