F1 Score,Feature Name,Frequency Count
0.8520002007729759,eyes,206.0
0.8393961092005607,nose,204.0
0.6766838816483897,lips,144.0
0.684183916272943,eyebrows,137.0
0.7117465730394358,chin,129.0
0.7815669373221205,cheekbones,104.0
0.6657020256269761,cheeks,103.0
0.7297714476341874,hair,85.0
0.6809542441473578,mouth,84.0
0.6952961267291285,forehead,83.0
0.7535017562179609,ears,80.0
0.8283084439830422,facial_hair,58.0
0.716260316723287,head,56.0
0.7271779606193256,eyelids,49.0
0.7444458845895116,teeth,44.0
0.7759799488385313,skin,35.0
0.960872589558295,neck,6.0
