F1 Score,Feature Name,Frequency Count
0.8520002007729759,eyes,206.0
0.8372149442018436,nose,204.0
0.6967476965897778,lips,144.0
0.6232977800769897,eyebrows,137.0
0.6649054889694117,chin,129.0
0.7493876806415359,cheekbones,104.0
0.703510361827597,cheeks,103.0
0.6938858374710687,hair,85.0
0.6579073328418306,mouth,84.0
0.6635744132322376,forehead,83.0
0.7729257641921398,ears,80.0
0.8527131551581499,facial_hair,58.0
0.7092349919605818,head,56.0
0.78307398979027,eyelids,49.0
0.7498688632554014,teeth,44.0
0.792072021803864,skin,35.0
0.960872589558295,neck,6.0
