embedding1,embedding2,label
"[-0.4200498163700104, -3.0897793769836426, -2.0678224563598633, 2.1525375843048096, 0.41363054513931274, -3.1002235412597656, 2.0466256141662598, -0.8616836667060852, -1.48944091796875, -1.3513551950454712, -1.408347249031067, -0.3223719298839569, -0.6227878332138062, -1.9572389125823975, 2.2077572345733643, -2.688530683517456, -0.7919643521308899]","[-0.5472783446311951, -0.8068053126335144, 0.5283500552177429, 0.3279261887073517, 1.8783947229385376, -1.2156059741973877, 1.6169878244400024, -0.43573805689811707, -1.081748604774475, -1.239405632019043, -2.001958131790161, 0.1532011330127716, -1.3909635543823242, -2.013601779937744, 0.2819672226905823, -1.405611276626587, -1.9692230224609375]",1
"[-0.4200498163700104, -3.0897793769836426, -2.0678224563598633, 2.1525375843048096, 0.41363054513931274, -3.1002235412597656, 2.0466256141662598, -0.8616836667060852, -1.48944091796875, -1.3513551950454712, -1.408347249031067, -0.3223719298839569, -0.6227878332138062, -1.9572389125823975, 2.2077572345733643, -2.688530683517456, -0.7919643521308899]","[-0.541771650314331, -1.1108953952789307, -0.8950255513191223, -0.40686237812042236, 0.8118394613265991, -0.4265217185020447, 1.4350368976593018, -0.18724797666072845, 1.2138376235961914, -0.6174986958503723, -1.430428147315979, 0.06454366445541382, -0.031249066814780235, -2.0529606342315674, 1.0860286951065063, -1.8934123516082764, -0.759564995765686]",1
"[-0.4200498163700104, -3.0897793769836426, -2.0678224563598633, 2.1525375843048096, 0.41363054513931274, -3.1002235412597656, 2.0466256141662598, -0.8616836667060852, -1.48944091796875, -1.3513551950454712, -1.408347249031067, -0.3223719298839569, -0.6227878332138062, -1.9572389125823975, 2.2077572345733643, -2.688530683517456, -0.7919643521308899]","[-1.7688446044921875, -0.5883522629737854, -1.0767980813980103, -0.7304131984710693, 0.7798970341682434, -1.1231417655944824, 1.7848089933395386, -1.1424736976623535, 0.6812348365783691, -2.4312186241149902, -2.280717611312866, 0.9657422304153442, 0.021925801411271095, -2.6721198558807373, 1.7614089250564575, -2.159642219543457, -0.981464147567749]",1
"[-0.4200498163700104, -3.0897793769836426, -2.0678224563598633, 2.1525375843048096, 0.41363054513931274, -3.1002235412597656, 2.0466256141662598, -0.8616836667060852, -1.48944091796875, -1.3513551950454712, -1.408347249031067, -0.3223719298839569, -0.6227878332138062, -1.9572389125823975, 2.2077572345733643, -2.688530683517456, -0.7919643521308899]","[0.10414329171180725, 0.20289397239685059, -0.6381993889808655, -0.9314962029457092, 0.7010583281517029, -1.831471562385559, 2.5626344680786133, -0.35809215903282166, -1.222011685371399, -1.865890622138977, -1.4359074831008911, 0.6126430034637451, -1.311683177947998, -2.7384469509124756, 1.7029508352279663, -2.4894795417785645, -2.1975181102752686]",1
"[-0.4200498163700104, -3.0897793769836426, -2.0678224563598633, 2.1525375843048096, 0.41363054513931274, -3.1002235412597656, 2.0466256141662598, -0.8616836667060852, -1.48944091796875, -1.3513551950454712, -1.408347249031067, -0.3223719298839569, -0.6227878332138062, -1.9572389125823975, 2.2077572345733643, -2.688530683517456, -0.7919643521308899]","[-0.29961204528808594, -0.8328904509544373, 0.6374666094779968, 1.0046770572662354, 0.6679064631462097, -1.245910406112671, 1.9971212148666382, -0.07079806923866272, 0.8498304486274719, -0.34067779779434204, -2.2792298793792725, -0.13364216685295105, -1.2400493621826172, -1.9978464841842651, 0.3214084506034851, -2.442316770553589, -1.5690484046936035]",1
"[-0.4200498163700104, -3.0897793769836426, -2.0678224563598633, 2.1525375843048096, 0.41363054513931274, -3.1002235412597656, 2.0466256141662598, -0.8616836667060852, -1.48944091796875, -1.3513551950454712, -1.408347249031067, -0.3223719298839569, -0.6227878332138062, -1.9572389125823975, 2.2077572345733643, -2.688530683517456, -0.7919643521308899]","[-0.03309221938252449, 0.3960329294204712, -0.21917040646076202, 1.314660668373108, 0.3906484544277191, -0.9559686779975891, 1.6456618309020996, -1.5099751949310303, -1.5359055995941162, -0.6905742883682251, -0.99725741147995, 0.7024871110916138, 0.18713915348052979, -1.839497685432434, 1.7163753509521484, -0.912422776222229, -1.4182517528533936]",0
"[-0.4200498163700104, -3.0897793769836426, -2.0678224563598633, 2.1525375843048096, 0.41363054513931274, -3.1002235412597656, 2.0466256141662598, -0.8616836667060852, -1.48944091796875, -1.3513551950454712, -1.408347249031067, -0.3223719298839569, -0.6227878332138062, -1.9572389125823975, 2.2077572345733643, -2.688530683517456, -0.7919643521308899]","[0.6870079040527344, -0.17910273373126984, 1.831749439239502, -1.2639907598495483, 0.11930212378501892, -2.4437668323516846, 2.3590660095214844, -1.506201982498169, -1.374191164970398, -2.2761714458465576, -1.6070001125335693, 0.2651752233505249, -1.335719347000122, -2.6483607292175293, 1.9196858406066895, -0.8624029755592346, -1.9159390926361084]",0
"[-0.4200498163700104, -3.0897793769836426, -2.0678224563598633, 2.1525375843048096, 0.41363054513931274, -3.1002235412597656, 2.0466256141662598, -0.8616836667060852, -1.48944091796875, -1.3513551950454712, -1.408347249031067, -0.3223719298839569, -0.6227878332138062, -1.9572389125823975, 2.2077572345733643, -2.688530683517456, -0.7919643521308899]","[-0.9892349243164062, 0.2182852327823639, -0.9113386869430542, 1.0056649446487427, 0.010289840400218964, -0.7535616159439087, 2.1118383407592773, 0.40426239371299744, 0.17483974993228912, -0.7294638752937317, -0.8702305555343628, -1.161805510520935, 0.10000625997781754, -1.8786522150039673, 1.6918169260025024, -1.4536936283111572, -1.115201711654663]",0
"[-0.4200498163700104, -3.0897793769836426, -2.0678224563598633, 2.1525375843048096, 0.41363054513931274, -3.1002235412597656, 2.0466256141662598, -0.8616836667060852, -1.48944091796875, -1.3513551950454712, -1.408347249031067, -0.3223719298839569, -0.6227878332138062, -1.9572389125823975, 2.2077572345733643, -2.688530683517456, -0.7919643521308899]","[-1.9676893949508667, 0.019865741953253746, -0.9404696822166443, -0.3967795670032501, 0.6837230920791626, -0.11259417235851288, 2.1867520809173584, -0.041772421449422836, -0.46051308512687683, -0.6862950325012207, -1.6508605480194092, 0.9054021835327148, -0.9666990637779236, -2.601579427719116, 1.7377387285232544, -2.8081395626068115, -1.7624778747558594]",0
"[-0.4200498163700104, -3.0897793769836426, -2.0678224563598633, 2.1525375843048096, 0.41363054513931274, -3.1002235412597656, 2.0466256141662598, -0.8616836667060852, -1.48944091796875, -1.3513551950454712, -1.408347249031067, -0.3223719298839569, -0.6227878332138062, -1.9572389125823975, 2.2077572345733643, -2.688530683517456, -0.7919643521308899]","[-0.030367549508810043, 0.9628772735595703, 1.1950887441635132, -1.5131784677505493, 1.5087536573410034, -0.793961763381958, 2.3428144454956055, -1.2401777505874634, -0.6190347671508789, -0.25378260016441345, -0.7614020705223083, 1.206276535987854, -2.376654863357544, -2.622917413711548, 1.0745056867599487, -2.270479202270508, -1.488355040550232]",0
