embedding1,embedding2,label
"[-1.4468815326690674, -1.0024254322052002, -0.8756227493286133, -0.20221543312072754, 0.7905430197715759, 0.5398291945457458, 2.759981393814087, 0.8299089074134827, -0.7449485659599304, -0.09586620330810547, -0.7709031701087952, -0.20851139724254608, -0.2447480857372284, -2.5855376720428467, 1.176727056503296, -1.7004899978637695, -1.5651178359985352]","[-0.12828998267650604, 0.5951148867607117, 0.04937012493610382, -0.8392550349235535, 0.8926116824150085, -0.4858361482620239, 2.1695430278778076, -1.567002534866333, 0.5464131832122803, -2.0875155925750732, -1.2169551849365234, 0.45722702145576477, -1.032200574874878, -2.135411500930786, 0.6083080172538757, -0.9482237100601196, -1.1507902145385742]",1
"[-1.4468815326690674, -1.0024254322052002, -0.8756227493286133, -0.20221543312072754, 0.7905430197715759, 0.5398291945457458, 2.759981393814087, 0.8299089074134827, -0.7449485659599304, -0.09586620330810547, -0.7709031701087952, -0.20851139724254608, -0.2447480857372284, -2.5855376720428467, 1.176727056503296, -1.7004899978637695, -1.5651178359985352]","[-1.9315303564071655, 0.628832995891571, 0.39772090315818787, 1.898219347000122, 0.8459042310714722, -2.022768497467041, 1.8632649183273315, -1.0592412948608398, 0.20397423207759857, -0.5889639854431152, -1.23639976978302, 0.3780634105205536, -0.8390595316886902, -2.1387221813201904, 2.2634942531585693, -1.1445302963256836, -1.920366644859314]",0
"[-1.6155246496200562, -2.0206174850463867, 0.6314945816993713, 0.07559297978878021, 1.5275675058364868, -1.0985996723175049, 1.7155841588974, 0.09934285283088684, -0.4901866018772125, -1.2132867574691772, -1.559970498085022, -0.2595703899860382, -0.10170461237430573, -2.549076795578003, 2.2516040802001953, -2.494612455368042, -0.6471734642982483]","[-2.032274007797241, -2.846771240234375, 0.04786662012338638, 2.3116140365600586, -0.2967798709869385, -1.5120104551315308, 2.630722761154175, 0.3535911738872528, -0.5628759264945984, -1.5845744609832764, -0.2712903916835785, -0.48565366864204407, -0.11574040353298187, -2.0639913082122803, 2.4557180404663086, -1.0029410123825073, -2.0952999591827393]",1
"[-1.6155246496200562, -2.0206174850463867, 0.6314945816993713, 0.07559297978878021, 1.5275675058364868, -1.0985996723175049, 1.7155841588974, 0.09934285283088684, -0.4901866018772125, -1.2132867574691772, -1.559970498085022, -0.2595703899860382, -0.10170461237430573, -2.549076795578003, 2.2516040802001953, -2.494612455368042, -0.6471734642982483]","[-2.556093692779541, 1.309043526649475, -0.3746502101421356, -0.44553259015083313, -0.6110327243804932, 0.49063873291015625, 1.8748738765716553, 0.08694614470005035, -0.5996826887130737, -0.03257576376199722, 0.5960625410079956, 1.54242742061615, -2.3301384449005127, -2.1341845989227295, 1.0205824375152588, -2.194796085357666, -1.9132790565490723]",0
"[-0.770974338054657, -1.2318979501724243, 0.5554479956626892, -0.35832566022872925, 0.1873142570257187, -0.5794071555137634, 1.1847635507583618, 0.7705096006393433, -0.5949366688728333, -1.6307859420776367, -1.5037386417388916, -0.2182491570711136, -1.1830723285675049, -2.5333826541900635, 1.0653750896453857, -2.7176973819732666, -0.6361952424049377]","[-1.3879567384719849, -1.4356826543807983, 0.043424010276794434, 2.999936103820801, 1.0287116765975952, -1.460959792137146, 1.760216236114502, -1.4263542890548706, -0.19643321633338928, -1.397873878479004, -0.5074729919433594, 0.5700275897979736, -0.007267802953720093, -2.1023433208465576, 2.020069122314453, -2.059201955795288, -1.4487463235855103]",1
"[-0.770974338054657, -1.2318979501724243, 0.5554479956626892, -0.35832566022872925, 0.1873142570257187, -0.5794071555137634, 1.1847635507583618, 0.7705096006393433, -0.5949366688728333, -1.6307859420776367, -1.5037386417388916, -0.2182491570711136, -1.1830723285675049, -2.5333826541900635, 1.0653750896453857, -2.7176973819732666, -0.6361952424049377]","[-0.07375401258468628, 0.8153027892112732, -1.6529096364974976, -0.2227078378200531, 0.5136070251464844, -0.2614249885082245, 1.5084774494171143, -1.0448415279388428, -0.6662771105766296, -0.6925073862075806, -1.4095635414123535, 0.006643231026828289, -0.32841020822525024, -2.1151821613311768, 1.3851746320724487, -1.902481198310852, -1.9272921085357666]",0
"[2.0705854892730713, 0.9065216183662415, -0.2899702489376068, -2.2570838928222656, 0.8779137134552002, -1.6959701776504517, 1.5076881647109985, -3.1310503482818604, -1.7315493822097778, -1.9116989374160767, -1.408843755722046, 0.5768284201622009, -0.4972214996814728, -2.6941065788269043, 2.479893207550049, -0.34154820442199707, -1.0746676921844482]","[0.9099720120429993, -1.1880714893341064, 0.41816288232803345, -0.8394291400909424, 0.49421030282974243, -1.8209288120269775, 1.598502516746521, -0.8526150584220886, -2.617741584777832, 0.193121075630188, -1.0639499425888062, 0.1822289377450943, -1.2002677917480469, -2.3342068195343018, 1.7237682342529297, -2.069159746170044, -1.4672646522521973]",1
"[2.0705854892730713, 0.9065216183662415, -0.2899702489376068, -2.2570838928222656, 0.8779137134552002, -1.6959701776504517, 1.5076881647109985, -3.1310503482818604, -1.7315493822097778, -1.9116989374160767, -1.408843755722046, 0.5768284201622009, -0.4972214996814728, -2.6941065788269043, 2.479893207550049, -0.34154820442199707, -1.0746676921844482]","[-1.2108464241027832, 0.3351764380931854, 0.30934277176856995, -0.262693852186203, 0.5887054204940796, -0.6669375896453857, 1.8600646257400513, 0.054850414395332336, -0.04563911259174347, 0.11538592725992203, -1.7998830080032349, 0.462657630443573, -1.2110810279846191, -2.2264530658721924, 1.331803321838379, -2.1409213542938232, -0.7572171688079834]",0
"[2.1431803703308105, -0.060009121894836426, 2.4372193813323975, -2.720301389694214, -0.0015585923101752996, -2.7297327518463135, 2.0145769119262695, -3.381359815597534, -2.253196954727173, -1.5120298862457275, -1.9602689743041992, 1.5815507173538208, 0.33436188101768494, -3.4412972927093506, 3.1808457374572754, -0.5899561643600464, -1.523634910583496]","[1.9856573343276978, 0.07153055816888809, 0.4559592306613922, -1.739696979522705, -0.3405432403087616, -2.120370388031006, 2.0803894996643066, -2.3758041858673096, -1.519281268119812, -1.6820993423461914, -0.4858285188674927, -0.1042121946811676, 0.6420894861221313, -2.481363534927368, 1.733030915260315, -1.2642635107040405, -0.7325035333633423]",1
"[2.1431803703308105, -0.060009121894836426, 2.4372193813323975, -2.720301389694214, -0.0015585923101752996, -2.7297327518463135, 2.0145769119262695, -3.381359815597534, -2.253196954727173, -1.5120298862457275, -1.9602689743041992, 1.5815507173538208, 0.33436188101768494, -3.4412972927093506, 3.1808457374572754, -0.5899561643600464, -1.523634910583496]","[0.2541348338127136, 0.6567765474319458, 0.6079453825950623, -0.7618834972381592, -0.02448204532265663, -1.745172142982483, 1.7490744590759277, -1.4420310258865356, -1.6853135824203491, 0.2048693299293518, 0.29669108986854553, 1.1589362621307373, 0.378892183303833, -2.479375123977661, 2.0495169162750244, -2.5986311435699463, -2.465532064437866]",0
