"Step","prom car fold1 - Validation","prom car fold1 - Validation__MIN","prom car fold1 - Validation__MAX","prom ver fold2 - Validation","prom ver fold2 - Validation__MIN","prom ver fold2 - Validation__MAX","prom carver fold2 - Validation","prom carver fold2 - Validation__MIN","prom carver fold2 - Validation__MAX"
"0","0.5718950033187866","0.5718950033187866","0.5718950033187866","0.5622122287750244","0.5622122287750244","0.5622122287750244","0.5409812331199646","0.5409812331199646","0.5409812331199646"
"1","0.5497252345085144","0.5497252345085144","0.5497252345085144","0.5340166091918945","0.5340166091918945","0.5340166091918945","0.5825681090354919","0.5825681090354919","0.5825681090354919"
"2","0.5771608352661133","0.5771608352661133","0.5771608352661133","0.594518780708313","0.594518780708313","0.594518780708313","0.5987709760665894","0.5987709760665894","0.5987709760665894"
"3","0.6082404851913452","0.6082404851913452","0.6082404851913452","0.6267380714416504","0.6267380714416504","0.6267380714416504","0.6047230958938599","0.6047230958938599","0.6047230958938599"
"4","0.634158730506897","0.634158730506897","0.634158730506897","0.6319997310638428","0.6319997310638428","0.6319997310638428","0.5834983587265015","0.5834983587265015","0.5834983587265015"
"5","0.6212554574012756","0.6212554574012756","0.6212554574012756","0.625468909740448","0.625468909740448","0.625468909740448","0.633078396320343","0.633078396320343","0.633078396320343"
"6","0.623252272605896","0.623252272605896","0.623252272605896","0.6240071654319763","0.6240071654319763","0.6240071654319763","0.5957634449005127","0.5957634449005127","0.5957634449005127"
"7","0.6309941411018372","0.6309941411018372","0.6309941411018372","0.6148337721824646","0.6148337721824646","0.6148337721824646","0.49213194847106934","0.49213194847106934","0.49213194847106934"
"8","0.5233199596405029","0.5233199596405029","0.5233199596405029","0.49763649702072144","0.49763649702072144","0.49763649702072144","0.47976988554000854","0.47976988554000854","0.47976988554000854"
"9","0.4940616488456726","0.4940616488456726","0.4940616488456726","0.4521915912628174","0.4521915912628174","0.4521915912628174","0.4774233400821686","0.4774233400821686","0.4774233400821686"
"10","0.4853003919124603","0.4853003919124603","0.4853003919124603","0.441413938999176","0.441413938999176","0.441413938999176","0.47512000799179077","0.47512000799179077","0.47512000799179077"
"11","0.48565295338630676","0.48565295338630676","0.48565295338630676","0.43986326456069946","0.43986326456069946","0.43986326456069946","0.47608304023742676","0.47608304023742676","0.47608304023742676"
"12","0.48568084836006165","0.48568084836006165","0.48568084836006165","0.4379551410675049","0.4379551410675049","0.4379551410675049","0.47308802604675293","0.47308802604675293","0.47308802604675293"
"13","0.4857150614261627","0.4857150614261627","0.4857150614261627","0.43906885385513306","0.43906885385513306","0.43906885385513306","0.47536247968673706","0.47536247968673706","0.47536247968673706"
"14","0.48402538895606995","0.48402538895606995","0.48402538895606995","0.4380990266799927","0.4380990266799927","0.4380990266799927","0.4742916226387024","0.4742916226387024","0.4742916226387024"
"15","0.48552167415618896","0.48552167415618896","0.48552167415618896","0.43682628870010376","0.43682628870010376","0.43682628870010376","0.4737508296966553","0.4737508296966553","0.4737508296966553"
"16","0.48513323068618774","0.48513323068618774","0.48513323068618774","0.43845856189727783","0.43845856189727783","0.43845856189727783","0.4737085700035095","0.4737085700035095","0.4737085700035095"
"17","0.4835091233253479","0.4835091233253479","0.4835091233253479","0.4374263286590576","0.4374263286590576","0.4374263286590576","0.47124993801116943","0.47124993801116943","0.47124993801116943"
"18","0.4844575822353363","0.4844575822353363","0.4844575822353363","0.4381950795650482","0.4381950795650482","0.4381950795650482","0.47352099418640137","0.47352099418640137","0.47352099418640137"
"19","0.483452171087265","0.483452171087265","0.483452171087265","0.4383333623409271","0.4383333623409271","0.4383333623409271","0.47620564699172974","0.47620564699172974","0.47620564699172974"
"20","0.48398831486701965","0.48398831486701965","0.48398831486701965","0.4374765157699585","0.4374765157699585","0.4374765157699585","0.4715653955936432","0.4715653955936432","0.4715653955936432"
"21","0.4841734766960144","0.4841734766960144","0.4841734766960144","0.4388806223869324","0.4388806223869324","0.4388806223869324","0.4713633358478546","0.4713633358478546","0.4713633358478546"
"22","0.48510950803756714","0.48510950803756714","0.48510950803756714","0.43809378147125244","0.43809378147125244","0.43809378147125244","0.4744153320789337","0.4744153320789337","0.4744153320789337"
"23","0.4850580096244812","0.4850580096244812","0.4850580096244812","0.4379707872867584","0.4379707872867584","0.4379707872867584","0.47169679403305054","0.47169679403305054","0.47169679403305054"
"24","0.48434650897979736","0.48434650897979736","0.48434650897979736","0.4384118914604187","0.4384118914604187","0.4384118914604187","0.47201475501060486","0.47201475501060486","0.47201475501060486"
"25","0.4843025207519531","0.4843025207519531","0.4843025207519531","","","","0.4720896780490875","0.4720896780490875","0.4720896780490875"
"26","0.4849235415458679","0.4849235415458679","0.4849235415458679","","","","0.4711821675300598","0.4711821675300598","0.4711821675300598"
"27","0.48526033759117126","0.48526033759117126","0.48526033759117126","","","","0.4714619219303131","0.4714619219303131","0.4714619219303131"
"28","0.4847189784049988","0.4847189784049988","0.4847189784049988","","","","0.47204703092575073","0.47204703092575073","0.47204703092575073"
"29","","","","","","","0.4716523587703705","0.4716523587703705","0.4716523587703705"
"30","","","","","","","0.47166332602500916","0.47166332602500916","0.47166332602500916"
"31","","","","","","","0.47201114892959595","0.47201114892959595","0.47201114892959595"
"32","","","","","","","0.47167617082595825","0.47167617082595825","0.47167617082595825"
"33","","","","","","","0.4717569947242737","0.4717569947242737","0.4717569947242737"
"34","","","","","","","0.47203195095062256","0.47203195095062256","0.47203195095062256"
"35","","","","","","","0.4717463254928589","0.4717463254928589","0.4717463254928589"
