"Step","sub ver fold3 - Validation","sub ver fold3 - Validation__MIN","sub ver fold3 - Validation__MAX","sub car fold1 - Validation","sub car fold1 - Validation__MIN","sub car fold1 - Validation__MAX","sub carver fold1 - Validation","sub carver fold1 - Validation__MIN","sub carver fold1 - Validation__MAX"
"0","0.23858880996704102","0.23858880996704102","0.23858880996704102","0.23902340233325958","0.23902340233325958","0.23902340233325958","0.23675450682640076","0.23675450682640076","0.23675450682640076"
"1","0.24134239554405212","0.24134239554405212","0.24134239554405212","0.23799100518226624","0.23799100518226624","0.23799100518226624","0.21206341683864594","0.21206341683864594","0.21206341683864594"
"2","0.22825491428375244","0.22825491428375244","0.22825491428375244","0.22897954285144806","0.22897954285144806","0.22897954285144806","0.19968749582767487","0.19968749582767487","0.19968749582767487"
"3","0.2073001265525818","0.2073001265525818","0.2073001265525818","0.21677115559577942","0.21677115559577942","0.21677115559577942","0.19572077691555023","0.19572077691555023","0.19572077691555023"
"4","0.20186153054237366","0.20186153054237366","0.20186153054237366","0.21110177040100098","0.21110177040100098","0.21110177040100098","0.19285540282726288","0.19285540282726288","0.19285540282726288"
"5","0.19852787256240845","0.19852787256240845","0.19852787256240845","0.2072136104106903","0.2072136104106903","0.2072136104106903","0.1903097927570343","0.1903097927570343","0.1903097927570343"
"6","0.19699349999427795","0.19699349999427795","0.19699349999427795","0.20604220032691956","0.20604220032691956","0.20604220032691956","0.18817156553268433","0.18817156553268433","0.18817156553268433"
"7","0.19510047137737274","0.19510047137737274","0.19510047137737274","0.20524859428405762","0.20524859428405762","0.20524859428405762","0.18806390464305878","0.18806390464305878","0.18806390464305878"
"8","0.19285807013511658","0.19285807013511658","0.19285807013511658","0.20287881791591644","0.20287881791591644","0.20287881791591644","0.18614138662815094","0.18614138662815094","0.18614138662815094"
"9","0.19306088984012604","0.19306088984012604","0.19306088984012604","0.20225434005260468","0.20225434005260468","0.20225434005260468","0.18514801561832428","0.18514801561832428","0.18514801561832428"
"10","0.19056570529937744","0.19056570529937744","0.19056570529937744","0.20183566212654114","0.20183566212654114","0.20183566212654114","0.18679478764533997","0.18679478764533997","0.18679478764533997"
"11","0.18956537544727325","0.18956537544727325","0.18956537544727325","0.20151181519031525","0.20151181519031525","0.20151181519031525","0.18446214497089386","0.18446214497089386","0.18446214497089386"
"12","0.18960410356521606","0.18960410356521606","0.18960410356521606","0.20024555921554565","0.20024555921554565","0.20024555921554565","0.1844780594110489","0.1844780594110489","0.1844780594110489"
"13","0.18961623311042786","0.18961623311042786","0.18961623311042786","0.201059490442276","0.201059490442276","0.201059490442276","0.18340149521827698","0.18340149521827698","0.18340149521827698"
"14","0.1887296438217163","0.1887296438217163","0.1887296438217163","0.1991479992866516","0.1991479992866516","0.1991479992866516","0.18422144651412964","0.18422144651412964","0.18422144651412964"
"15","0.18720072507858276","0.18720072507858276","0.18720072507858276","0.20104765892028809","0.20104765892028809","0.20104765892028809","0.18473252654075623","0.18473252654075623","0.18473252654075623"
"16","0.1887504756450653","0.1887504756450653","0.1887504756450653","0.19980230927467346","0.19980230927467346","0.19980230927467346","0.18461067974567413","0.18461067974567413","0.18461067974567413"
"17","0.1877981573343277","0.1877981573343277","0.1877981573343277","0.20040784776210785","0.20040784776210785","0.20040784776210785","0.18536318838596344","0.18536318838596344","0.18536318838596344"
"18","0.18895411491394043","0.18895411491394043","0.18895411491394043","0.20089800655841827","0.20089800655841827","0.20089800655841827","0.1847638189792633","0.1847638189792633","0.1847638189792633"
"19","0.18786968290805817","0.18786968290805817","0.18786968290805817","0.2015458345413208","0.2015458345413208","0.2015458345413208","0.18664930760860443","0.18664930760860443","0.18664930760860443"
"20","0.18683001399040222","0.18683001399040222","0.18683001399040222","0.20018541812896729","0.20018541812896729","0.20018541812896729","0.18531803786754608","0.18531803786754608","0.18531803786754608"
"21","0.18689671158790588","0.18689671158790588","0.18689671158790588","0.20015567541122437","0.20015567541122437","0.20015567541122437","0.18516765534877777","0.18516765534877777","0.18516765534877777"
"22","0.18668480217456818","0.18668480217456818","0.18668480217456818","0.20024403929710388","0.20024403929710388","0.20024403929710388","0.1852221041917801","0.1852221041917801","0.1852221041917801"
"23","0.18815618753433228","0.18815618753433228","0.18815618753433228","0.19994191825389862","0.19994191825389862","0.19994191825389862","","",""
"24","0.18703654408454895","0.18703654408454895","0.18703654408454895","","","","","",""
"25","0.1861327886581421","0.1861327886581421","0.1861327886581421","","","","","",""
"26","0.18780341744422913","0.18780341744422913","0.18780341744422913","","","","","",""
"27","0.18732616305351257","0.18732616305351257","0.18732616305351257","","","","","",""
"28","0.18839628994464874","0.18839628994464874","0.18839628994464874","","","","","",""
"29","0.18782055377960205","0.18782055377960205","0.18782055377960205","","","","","",""
"30","0.1885148286819458","0.1885148286819458","0.1885148286819458","","","","","",""
"31","0.190357968211174","0.190357968211174","0.190357968211174","","","","","",""
"32","0.18858656287193298","0.18858656287193298","0.18858656287193298","","","","","",""
"33","0.18832990527153015","0.18832990527153015","0.18832990527153015","","","","","",""
"34","0.18867625296115875","0.18867625296115875","0.18867625296115875","","","","","",""
